	dHEP_520_A_NT	dHEP_550_A_NT	F_F_158_NC_NT	dHEP_549_A_NT	F_F_503_A_NT	dHEP_165_NC_NT	F_F_595_A_NT	F_F_523_A_NT	F_F_157_NC_NT	dHEP_518_A_NT	dHEP_164_NC_NT	dHEP_155_NC_NT	F_F_159_NC_NT	F_F_581_A_NT
Itga5	3.81323828504	3.53147824056	4.80271008807	4.02487294921	3.85814782348	3.94009873934	4.05577970824	4.20797022317	4.30389497129	3.9064069422	4.18714959998	4.34514720199	3.72434863806	3.78950529768
Wdr77	4.45512056749	4.54612402855	4.45340757161	4.51852028319	4.69239531993	4.49086470206	4.86655551988	4.43725399289	4.59175309144	4.38580769436	4.63905655414	4.35991235599	4.55882940064	4.63133501652
Atp5f1	7.92949933155	8.01630673174	7.83488817089	8.03566259584	7.85203569586	8.08382263973	7.95551642615	7.66856624122	7.84081101014	8.00527787897	7.90410296711	7.91069596011	8.13454345556	7.88219489136
Sox9	0.582075654073	-0.425165390246	0.240730905351	0.870672300062	1.39676000788	0.532351275988	0.50944986712	0.869580881588	2.02888792379	0.962696073045	0.274441677773	0.651062978885	0.554423636615	1.46757720279
Hnrnpd	3.60156061211	3.4054315417	4.02905659923	3.85314839783	3.92566715396	3.72138510038	3.17592936402	3.65960082136	3.95123802748	3.92843324853	3.19004949048	3.56868568061	3.64007972116	3.25556679998
Dynlt1c	1.82384144315	2.03564613767	1.63219525131	1.82672895247	0.225973438752	2.10234404405	1.68046918137	1.52680853291	1.41595630721	1.01984569718	1.00615154649	1.39411625004	1.97528155058	1.44518347906
C1d	4.74612408918	4.62382330319	4.52995483517	4.65522735275	4.68160999896	4.69968848294	4.49841159567	4.54802228217	4.65493761655	4.60301479875	4.82810005858	4.73366825649	4.77297399166	4.53836130289
Gm2a	6.73578214496	6.77863336438	7.05561718666	6.91453317416	6.84094048832	6.9731534801	6.7165237253	6.96640402627	7.24560145232	7.14036984386	6.8940503213	6.74276281302	7.18687749928	7.07482247454
Krit1	4.45093584224	4.23680018008	3.97893966637	4.44089825753	4.37232996906	4.0819807036	4.63369729417	4.42064297569	4.29592426018	4.32240081874	4.36703867049	4.33235159668	4.40710254918	4.07720175774
Clcn4	6.25035531779	6.35273876464	6.08924592828	6.29529948928	6.05774037544	6.17341244705	6.34603910136	6.2167120902	6.18700947861	6.18955057666	6.2968094908	6.13924742723	6.34024127579	6.16610226233
Hk2	1.85388026953	1.89676270464	1.31348724779	1.81690104362	1.86982962853	2.05388839657	1.97207682492	3.68367738153	1.08547145215	1.97734284901	2.32807964138	1.93117089808	0.977114708438	2.35555058505
Myo18a	6.98815100118	6.7578822689	6.71422673208	6.95658190767	6.73208369613	6.79186676371	7.03797544737	6.80419018884	7.16036765991	7.16376977306	6.92744956592	6.47960752277	6.82598599974	6.88610838207
Haao	8.29648872241	8.08658726352	8.32801083756	8.22800972968	8.34381898887	8.79414290676	8.02745525131	7.99835700796	8.44775250118	8.53611140919	8.55155292681	8.65347618554	8.50204503239	8.26109642831
Cd52	2.65915187709	2.65782397443	2.80060242511	2.50180498222	2.31935550419	2.42364501655	2.81723377969	3.53503330017	2.71893247056	2.52789531894	2.40995664843	2.77916780463	1.94234929028	3.0960960695
Abhd15	5.91459148335	5.80991667347	5.39880601796	5.54679106684	5.56040292555	5.77898002441	5.10873862778	5.6613778763	5.57643646286	6.17699536694	5.41937795903	5.28070269749	5.73281620035	5.70992564602
Loxl3	1.03907407292	2.51969305556	1.73889372045	1.82854161139	1.11726717931	1.99296702617	1.13876383483	1.73948464135	1.08473141877	1.00333805754	1.33354519812	1.87686672361	1.57181490513	1.44282365489
Kat2b	6.86522048703	6.87214188838	6.8000750279	6.95843524034	6.71707224106	6.92805538634	6.62306499623	6.5139100086	7.12930497502	6.77477512353	7.07183988898	6.78425070493	7.0823165128	6.9190725615
Rab5b	6.71115758453	6.6606215224	6.85310374252	6.58694052874	6.6189601596	7.02885073717	6.62813776883	6.55812815609	6.70470385496	6.66370188695	6.87345283553	6.81352624277	6.7951439358	6.75191603615
Icosl	0.582075654073	0.184888091438	-0.0936881337193	0.0366822515012	0.375064936777	-0.334382193148	0.50944986712	1.7070278688	0.0479967467336	0.302182539317	0.0880285535422	0.475976272327	-0.142184219935	0.639343551055
Spg7	5.36535342023	5.18644188269	5.22667096151	5.15517198837	5.57741141591	5.26290358602	5.29016966267	5.51343707136	5.1729342934	5.30943592333	5.21161484032	5.14931384641	5.22745072835	5.47893300056
Sult5a1	3.93533008315	3.43019490472	2.150934235	3.70787714987	4.06198984844	3.85892573573	3.51384163624	3.4023679173	4.05273466574	4.17135346898	3.66050011008	3.06867442183	3.81040641968	2.6466855264
Rpl13	6.117627953	6.47786019075	6.54677687649	6.35908071374	6.03036471917	6.43434702954	6.45443397775	5.99644273538	6.22188161091	5.62710925221	6.29332128642	6.33996266689	6.32052253074	6.16337907371
Chmp1a	5.7800714211	5.79145284664	5.72371267448	5.82940182719	5.68050490888	5.49850782102	5.71318580767	5.6777802257	5.66270659085	5.70663742982	5.67816386382	5.5892143227	5.76221682365	5.90651241454
Rpa1	4.91277395859	4.79654891355	4.82361907783	4.65522735275	4.97992699494	5.03963441289	4.24729488529	4.81382489168	4.64869217372	4.88908284428	4.92875222518	5.05899836248	5.06995572941	4.78452189016
Serpinf1	8.93522247957	8.84149788006	8.73050967344	8.92370414408	9.00121642617	9.12444656934	8.7275552807	8.61005286773	9.07051057414	8.96419043878	8.914686614	8.84384893814	9.12274364604	8.8889165956
Tubgcp3	4.35638061006	4.27819181128	4.50945438307	4.23763414856	4.58569938724	4.45773821521	4.44881406938	4.46827409817	4.48306381697	4.23368260227	4.65421384723	4.59055823993	4.59042183485	4.35330863427
Polr3d	1.93876916712	2.31559178308	2.22823996117	2.50180498222	2.67939897165	2.6334374011	3.11189979457	2.40644909411	2.67043395287	2.29050073427	2.68125867025	2.15113658202	2.66517070212	2.6466855264
Tcf7	0.952444104018	0.881495947988	1.36002983372	0.939385050146	0.822523913748	0.78760833123	0.00987885762932	1.20563008472	1.98989379217	1.41407541939	-0.0150649394219	0.379760957067	1.18965934382	0.805993420464
Ddx3x	7.86815440052	7.89034173202	8.0725295396	8.20508185966	7.87780634925	7.89132144158	8.21310026955	7.70267834346	8.16611818396	7.84608747292	8.14536677609	8.20016002705	8.0556255995	7.71310258967
Il12rb1	0.716376745785	0.881495947988	-0.529787248526	1.66286741495	0.375064936777	1.07000806193	1.4186844032	-0.0167623366161	1.41477907741	0.902575080607	1.5698975613	0.165636151715	0.8824778343	0.153916723884
Usp32	5.73923770359	5.64544990601	5.75452655456	5.53964373796	5.96093794244	5.65630577334	5.37710529945	5.66250448844	6.13880561586	5.94696919997	5.79514963677	5.68038965015	5.82717748917	5.67478792061
Txnrd3	2.04470261187	2.77811820814	2.32526441556	2.84403717356	2.60679522269	2.61157796714	1.86614338017	2.13851588886	2.30786387349	2.48753758133	2.17256206375	2.76018470126	2.19950712977	2.37336186117
Zfp512b	4.60922107266	4.56124554501	4.89639856038	4.79338069732	4.90537786383	4.54981347075	3.98162059759	4.63612390996	5.03584415244	4.86872275587	4.36637226312	4.66388701924	4.59288970661	4.54580225494
Dnajc5	6.24063548768	6.2583833302	6.25542479049	6.43719048103	6.254741003	6.17899707999	6.55969671272	6.19917506258	6.24611864001	6.22833503709	6.3261037976	6.16292855935	6.15021675376	6.20640714575
Tpd52l2	4.92322831623	5.07005849042	5.0175609604	4.85963402861	4.68160999896	5.19102346289	5.10463910969	4.95425859641	4.76296523863	4.87741678308	4.86685341067	4.72879428212	4.77955414008	4.79701426883
Fmr1	4.48195863827	4.34744263337	4.48314943931	4.56894499558	4.67327889498	4.36017030061	4.0045209997	4.52909373865	4.75094585558	4.31918487431	4.37979467792	4.61844241428	4.48086726577	4.32484897017
Pxmp4	6.24758489919	6.06921653239	6.94546933727	6.04547622073	6.13399473646	6.30692581514	6.19150238046	6.17306222226	6.85873748363	6.41609270479	6.20374492472	6.66580083121	6.97317340574	6.33467838659
Dlg3	4.20466322709	4.06499935593	4.41892352278	3.75629427892	3.88909153069	4.63072301641	3.81367596027	3.81842679364	4.27174444768	4.20285461219	4.35158107575	4.11796971808	4.21172307948	3.74231013001
Gnb1l	0.779112501133	0.150656456619	0.0266060999984	0.927255828429	0.50139709355	0.222011155376	0.281180879447	-0.306268953811	0.443925423065	0.902575080607	-0.682489600335	-0.505527384056	0.42609953964	0.857523721104
Smarcb1	3.52373166784	3.1534555836	3.94117062349	3.35232408354	3.63900984756	3.29925415431	3.91012107723	3.5048975822	3.80569378248	3.45127403734	3.47322154189	3.21526691944	3.66161288271	3.76946754444
Hip1r	4.75004445855	5.28835679071	5.0391747735	5.80429099477	4.97272251035	5.38389883775	6.30987631245	4.88282345837	5.49877390006	4.59353893519	6.2405756643	5.9532775662	5.34524003166	5.25224965035
Nsun5	3.04406410996	3.01648582182	3.42692542286	3.37135000966	2.81012775221	3.09873436189	3.45750365209	2.60147631898	2.81776848598	3.12395857824	3.19756203922	2.85788478739	3.01697724899	3.12897036675
Top1mt	3.91382280999	3.63933630256	4.06574449391	3.8201844577	4.19733156824	3.94884237241	3.65461034847	4.0486741983	4.06028312006	4.13810661357	3.980988974	4.28499232875	4.10537668195	4.07017496844
Snurf	2.78676607368	2.37871420332	2.65551964266	2.96069949199	3.17151167072	2.94971382821	2.31841247291	3.07808790737	2.7011774763	3.3333728057	2.87923186888	2.98595809983	2.7844696305	3.2616045932
Mmp14	3.7441599023	3.89296113448	5.2013320877	4.27134351017	3.85030707026	4.48804804937	3.98162059759	4.0447520526	4.19667401447	3.61944925683	4.00153702792	4.81410159474	4.07931956876	4.56185210748
